project_name,bug_number,cumulative_distance
black,1,5.288190087829359
black,3,25.65426800190748
black,4,8.38022724821114
black,6,5.3552356020942415
black,7,27.92177593865077
black,8,20.970865662558953
black,10,0.0
black,11,20.362399252423785
black,14,0.0
black,15,0.0
black,18,0.000453857791225416
black,19,11.630250438125387
black,23,1.0816389949391814
cookiecutter,1,0.02280701754385965
cookiecutter,2,0.0
cookiecutter,3,0.5857438016528926
cookiecutter,4,135.91343186446372
fastapi,1,0.2612481857764876
fastapi,2,162.00807265388497
fastapi,3,0.052672147995889
fastapi,4,288.6995503729103
fastapi,5,447.17391304347825
fastapi,6,287.5088889306945
fastapi,7,41.73913043478261
fastapi,9,499.4959929470087
fastapi,10,0.0827123695976155
fastapi,11,128.475935828877
fastapi,12,0.0
fastapi,14,379.61956521739137
fastapi,16,0.0
httpie,2,370.6947398677782
httpie,3,275.0
httpie,4,306.3650986559908
httpie,5,0.49833887043189373
keras,1,13.226240819051858
keras,3,536.0953653739472
keras,5,259.67118176242076
keras,6,550.0
keras,7,276.8514492753623
keras,10,0.0024752475247524753
keras,14,15.0
keras,17,10.3375
keras,18,94.95523630881425
keras,20,75.62025101763908
keras,26,0.7652375949133999
keras,31,0.2665284667209594
keras,33,0.010359116022099447
keras,35,1.737232845894263
keras,38,23.109331476323124
keras,40,8.269836695485113
keras,41,0.0031468531468531466
keras,43,0.7608695652173911
pandas,2,210.16507730096808
pandas,12,503.1914893617021
pandas,23,295.22429906542055
pandas,43,543.452380952381
pandas,54,382.4337772386456
pandas,56,537.7777777777778
pandas,68,233.65939457837436
pandas,72,35.000470957613814
pandas,74,550.0
pandas,77,387.24489795918373
pandas,81,505.0
pandas,84,10.096064814814815
pandas,116,547.4016070557066
pandas,137,390.7827674333698
pandas,141,550.0
pandas,143,550.0
pandas,146,0.024193548387096774
pandas,168,175.00441826215024
sanic,1,2.309631432545202
sanic,3,76.43960036330607
sanic,4,272.22222222222223
spacy,1,0.0
spacy,2,167.6582496413199
spacy,3,0.018354055654233273
spacy,4,7.6689063083240026
spacy,5,0.0
spacy,6,221.75583256127348
thefuck,2,16.31454005934718
thefuck,3,0.01171875
thefuck,4,14.112094395280232
thefuck,6,10.041666666666666
thefuck,7,65.0
thefuck,8,0.1928571428571429
thefuck,13,45.75845410628019
thefuck,14,0.0
thefuck,15,20.0
thefuck,17,5.554730983302412
thefuck,19,83.33333333333334
thefuck,20,30.0
thefuck,25,0.0
thefuck,26,0.11538461538461539
thefuck,28,0.0029850746268656717
thefuck,29,0.011494252873563218
tornado,1,0.0
tornado,5,0.12264922322158626
tornado,6,40.529275599128546
tornado,8,179.55347054075867
tqdm,4,0.0
tqdm,5,4.432038834951455
tqdm,6,0.0
tqdm,7,17.714805825242713
tqdm,8,0.09104567307692309
tqdm,9,0.14634873323397915
youtube-dl,1,0.021438984649686993
youtube-dl,2,73.33111455586689
youtube-dl,6,0.0005900865460267506
youtube-dl,7,0.03274760383386581
youtube-dl,13,0.02850877192982456
youtube-dl,15,0.27234927234927236
youtube-dl,17,0.0009414225941422594
youtube-dl,18,0.4554865424430642
youtube-dl,20,0.09610355648535564
youtube-dl,21,0.0008234971177600878
youtube-dl,24,226.56932255022846
youtube-dl,25,0.07902593221331147
youtube-dl,31,0.006600660066006601
youtube-dl,34,0.3871966959215281
youtube-dl,41,0.4227495908346972
youtube-dl,43,0.004117108874656907
