project_name,bug_number,cumulative_distance,sv_comp_overall_score
black,1,46.07306043496445,-2.892879548306148
black,3,1.8891273247496423,-2.0340963280877444
black,4,8.38022724821114,-2.1523677681492934
black,6,17.90584642233857,-2.326701570680628
black,7,27.92177593865077,-2.507668653430014
black,8,17.26734367868553,-2.3129659211927582
black,10,0.0,8
black,11,20.362399252423785,-2.37022544095316
black,14,0.0,8.0
black,15,0.0,8.0
black,18,0.000453857791225416,2.999848714069592
black,19,11.630250438125387,-2.2114590988750074
black,23,1.0816389949391814,-2.0196661635443487
cookiecutter,1,0.02280701754385965,0.32982456140350846
cookiecutter,2,0.0,8
cookiecutter,3,0.5857438016528926,-1.1945592286501379
cookiecutter,4,135.91343186446372,-7.0
fastapi,1,0.2612481857764876,-0.47895500725689377
fastapi,2,162.00807265388497,-3.3779571700863325
fastapi,3,0.05375919044983793,0.3023163886473239
fastapi,4,218.56100863090202,-5.921204941614486
fastapi,5,447.17391304347825,-10.130434782608695
fastapi,6,287.5088889306945,-7.15444164346452
fastapi,7,275.0,-7
fastapi,9,499.4959929470087,-11.081745326309248
fastapi,10,0.0827123695976155,-1.0948477751756442
fastapi,11,352.50651705768996,-8.409209401048908
fastapi,12,0.0,8.0
fastapi,14,346.42857142857144,-8.2987012987013
fastapi,16,0.0,8
httpie,2,275.0,-7
httpie,3,275.0,-7.0
httpie,4,326.9213017751478,-7.9132544378698215
httpie,5,7.425249169435215,-2.0830564784053154
keras,1,0.0,8
keras,3,497.69208878770644,-11.048947068867388
keras,5,160.9593835616438,-4.826534246575343
keras,6,550.0,-12.0
keras,7,38.82125603864734,-2.701449275362319
keras,10,0.0024752475247524753,2.9991749174917492
keras,14,0.0,8
keras,17,10.3375,-1.3708333333333333
keras,18,0.20141830661161456,-2.0006836827711942
keras,20,275.0,-7
keras,26,0.22892408011178392,-2.005356311131812
keras,31,0.2665284667209594,-1.236692085585252
keras,33,0.010359116022099447,2.9965469613259668
keras,35,5.66476377952756,-2.106561679790026
keras,38,550.0,-12
keras,40,8.236231187960293,-2.1594620557156583
keras,41,0.0031468531468531466,2.9989510489510485
keras,43,0.7608695652173911,-0.07608695652173902
pandas,2,28.154470583599313,-2.5088859991330734
pandas,12,550.0,-12.0
pandas,23,550.0,-12
pandas,43,550.0,-12.0
pandas,54,382.32395432554125,-2.0017094017094017
pandas,56,550.0,-12.0
pandas,68,399.2875302158873,-9.259773276652496
pandas,72,0.0005651491365777079,3.9998116169544744
pandas,74,550.0,-12.0
pandas,77,387.24489795918373,-8.670445956160243
pandas,81,275.0,-7.0
pandas,84,550.0,-12
pandas,116,550.0,-12.0
pandas,137,550.0,-12.0
pandas,141,550.0,-12.0
pandas,143,550.0,-12.0
pandas,146,0.024193548387096774,0.49193548387096797
pandas,168,0.004418262150220913,7
sanic,1,0.003129346314325452,0.49895688456189147
sanic,3,275.0,-7.0
sanic,4,275.0,-7.0
spacy,1,0.0,8.0
spacy,2,30.008780487804877,-1.0009756097560976
spacy,3,0.018354055654233273,0.330373001776199
spacy,4,2.971085651936716,-2.049645390070922
spacy,5,0.0,8
spacy,6,275.0,-7.0
thefuck,2,16.31454005934718,-3.1824925816023737
thefuck,3,0.01171875,2.99609375
thefuck,4,14.112094395280232,-1.4112094395280237
thefuck,6,10.041666666666666,-2.013888888888889
thefuck,7,150.0,3
thefuck,8,54.21428571428571,-4.185714285714285
thefuck,13,21.960474308300395,-2.932806324110672
thefuck,14,0.0,8
thefuck,15,20.0,-5.333333333333334
thefuck,17,5.554730983302412,0.693877551020408
thefuck,19,133.33333333333331,-9.777777777777779
thefuck,20,30.0,6
thefuck,25,0.0,8
thefuck,26,0.13846153846153847,1.953846153846154
thefuck,28,0.0029850746268656717,5.997014925373134
thefuck,29,0.16091954022988506,3.655172413793103
tornado,1,0.0,8
tornado,5,0.12264922322158626,0.20178068501862434
tornado,6,4.446977124183006,-2.085375816993464
tornado,8,0.11420500403551251,-2.0121065375302662
tqdm,4,0.0,8
tqdm,5,14.117718446601941,-2.078883495145631
tqdm,6,0.0,8
tqdm,7,17.71480582524272,-2.3220873786407767
tqdm,8,0.09104567307692309,0.4696514423076925
tqdm,9,0.03709016393442624,0.743237704918033
youtube-dl,1,0.021438984649686993,-0.33547723179830213
youtube-dl,2,550.0,-12
youtube-dl,6,0.0005900865460267506,2.999803304484658
youtube-dl,7,0.03274760383386581,-0.6688498402555907
youtube-dl,13,0.02850877192982456,-2.000814536340852
youtube-dl,15,0.2622141372141372,-2.003378378378378
youtube-dl,17,0.0009414225941422594,1.9996861924686193
youtube-dl,18,0.2853614880938895,-1.478872601218932
youtube-dl,20,0.09610355648535564,-2.0048378661087867
youtube-dl,21,0.0008234971177600878,1.9997255009607464
youtube-dl,24,125.30517879161529,-4.278275978029368
youtube-dl,25,0.07902593221331147,-1.0931042556927941
youtube-dl,31,0.006600660066006601,0.6655665566556661
youtube-dl,34,0.3871966959215281,-2.0070399399258463
youtube-dl,41,0.4227495908346972,-1.2093944353518822
youtube-dl,43,0.004117108874656907,0.49862763037511426
