project_name,bug_number,experiment_time_seconds,e_inspect,exam_score
black,1,-1,23249.25,0.2502852805976898
black,3,-1,45665.0,0.5000328500722702
black,4,-1,45413.5,0.5017622751579971
black,6,-1,162.5,0.0017980437284234752
black,7,-1,4.0,4.4282567060412495e-05
black,8,-1,210.0,0.0023249892054072606
black,10,-1,1.0,1.1079964100916312e-05
black,11,-1,290.5,0.003219300287021953
black,14,-1,18.0,0.00020002889306233122
black,15,-1,17.310344827586206,0.000192213293961516
black,18,-1,17.0,0.003309968847352025
black,19,-1,21.0,0.004689593568557392
black,23,-1,40.5,0.011065573770491803
cookiecutter,1,-1,764.5,0.5006548788474132
cookiecutter,2,-1,5.666666666666667,0.0037802979764287306
cookiecutter,3,-1,732.5,0.501368925393566
cookiecutter,4,-1,83.0,0.09201773835920177
fastapi,1,-1,6.333333333333333,0.0014193933960854623
fastapi,2,-1,2238.5,0.5025819488100584
fastapi,3,-1,4.333333333333333,0.0009790631119144448
fastapi,4,-1,2245.0,0.5087242238839792
fastapi,5,-1,2229.5,0.5056702200045362
fastapi,6,-1,1.0,0.00022716946842344388
fastapi,7,-1,1451.3333333333333,0.33791230112533954
fastapi,9,-1,686.8333333333334,0.18098375054896795
fastapi,10,-1,1283.3333333333333,0.33923693717508147
fastapi,11,-1,1286.6666666666667,0.34210759549765135
fastapi,12,-1,726.8,0.20387096774193547
fastapi,14,-1,708.75,0.2679584120982987
fastapi,16,-1,1.5,0.0005912495072920772
httpie,2,-1,60.0,0.02188183807439825
httpie,3,-1,2.0,0.0007371913011426465
httpie,4,-1,50.0,0.019477989871445268
httpie,5,-1,1.0,0.001658374792703151
keras,1,-1,18.0,0.00046965506444711163
keras,3,-1,5655.0,0.14767326474121273
keras,5,-1,18732.0,0.5006414368184734
keras,6,-1,18792.5,0.506932642766583
keras,7,-1,18845.0,0.5093518568571274
keras,10,-1,3.0,8.088215470060122e-05
keras,14,-1,3.5,9.764807633289625e-05
keras,17,-1,23.0,0.000649423989157443
keras,18,-1,5070.142857142857,0.1432972374976784
keras,20,-1,1421.16,0.04013669227293267
keras,26,-1,19555.5,0.5008708347206926
keras,31,-1,12878.333333333334,0.33392971356462514
keras,33,-1,1.3333333333333333,3.4772025905159296e-05
keras,35,-1,51.0,0.0013572493080689803
keras,38,-1,255.0,0.006977889667250438
keras,40,-1,21.333333333333332,0.0006029771999246278
keras,41,-1,4.0,0.00011548344256142276
keras,43,-1,11490.0,0.3334203882649952
pandas,2,-1,132.0,0.0010276772159289967
pandas,12,-1,118.5,0.0009277745155607751
pandas,23,-1,42696.666666666664,0.33539930296436526
pandas,43,-1,52.0,0.0004117409515966839
pandas,54,-1,41928.666666666664,0.333351884389816
pandas,56,-1,42204.0,0.33556758819740956
pandas,68,-1,41881.666666666664,0.33381953632706846
pandas,72,-1,349.0,0.0027839599237402383
pandas,74,-1,43.5,0.00034715848782551097
pandas,77,-1,41773.666666666664,0.3333945207957562
pandas,81,-1,16.333333333333336,0.00013070849338454974
pandas,84,-1,41798.333333333336,0.3347347908491498
pandas,116,-1,62548.0,0.5011778657393311
pandas,137,-1,195.0,0.0015572343517912188
pandas,141,-1,10.0,8.010573957624064e-05
pandas,143,-1,314.0,0.002516549922259445
pandas,146,-1,5.0,4.0115854588050287e-05
pandas,168,-1,41971.0,0.33387160925940657
sanic,1,-1,6649.5,0.5005269100489274
sanic,3,-1,17.5,0.0012862918044836457
sanic,4,-1,88.0,0.00642148277875073
spacy,1,-1,35348.666666666664,0.3333364766529932
spacy,2,-1,35384.0,0.33414231077954576
spacy,3,-1,35648.333333333336,0.33334891839660874
spacy,4,-1,6.0,5.97538142851452e-05
spacy,5,-1,49905.0,0.5001453182469608
spacy,6,-1,24.0,0.00024107519537135624
thefuck,2,-1,2174.5,0.5006907667510937
thefuck,3,-1,1432.6666666666667,0.3334109068342255
thefuck,4,-1,2.333333333333333,0.0005644250927269794
thefuck,6,-1,6.5,0.001589242053789731
thefuck,7,-1,1324.0,0.3351050366995697
thefuck,8,-1,1272.0,0.333945917563665
thefuck,13,-1,449.3333333333333,0.17052498418722328
thefuck,14,-1,1.0,0.00039261876717707107
thefuck,15,-1,1.0,0.0003957261574990107
thefuck,17,-1,4.5,0.0018374846876276032
thefuck,19,-1,1125.5,0.5015597147950089
thefuck,20,-1,2.0,0.0008964589870013447
thefuck,25,-1,910.0,0.5005500550055005
thefuck,26,-1,2.0,0.0010964912280701754
thefuck,28,-1,2.5,0.0013896609227348527
thefuck,29,-1,600.0,0.333889816360601
tornado,1,-1,301.5,0.01707248018120045
tornado,5,-1,2.333333333333333,0.000129027501290275
tornado,6,-1,3020.6666666666665,0.16722951152447912
tornado,8,-1,6249.0,0.35782180485570314
tqdm,4,-1,1031.5,0.5093827160493827
tqdm,5,-1,20.0,0.010351966873706004
tqdm,6,-1,950.0,0.5042462845010616
tqdm,7,-1,921.0,0.5046575342465753
tqdm,8,-1,588.5,0.5194174757281553
tqdm,9,-1,9.0,0.016791044776119403
youtube-dl,1,-1,27.333333333333332,0.00025166729583490623
youtube-dl,2,-1,1.0,9.497668322426843e-06
youtube-dl,6,-1,1.5,2.3032275895955532e-05
youtube-dl,7,-1,4.5,7.167659520244656e-05
youtube-dl,13,-1,3.0,2.61276247376351e-05
youtube-dl,15,-1,53021.0,0.5000613039828726
youtube-dl,17,-1,2.5,2.458718122719539e-05
youtube-dl,18,-1,77.0,0.000762044257947033
youtube-dl,20,-1,33454.666666666664,0.3333898040466248
youtube-dl,21,-1,1.3333333333333333,1.3872848407917234e-05
youtube-dl,24,-1,121.0,0.0013560157790927022
youtube-dl,25,-1,5.0,5.931972143458814e-05
youtube-dl,31,-1,2.666666666666667,6.631189801230087e-05
youtube-dl,34,-1,9125.25,0.2501919227922024
youtube-dl,41,-1,6837.666666666667,0.3334796462478866
youtube-dl,43,-1,8537.5,0.5000878631677601
